
2025/02/14 (20:38:59) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/14 (20:38:59) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/14 (20:38:59) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/14 (20:38:59) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/14 (20:39:03) | ===> btop++ v.1.4.0
2025/02/14 (20:39:03) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/14 (20:39:03) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/14 (20:39:03) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/14 (20:39:03) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/14 (20:39:03) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/14 (20:39:05) | ===> btop++ v.1.4.0
2025/02/14 (20:39:05) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/14 (20:39:05) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/14 (20:39:05) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/14 (20:39:05) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/14 (20:39:05) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/15 (09:04:53) | ===> btop++ v.1.4.0
2025/02/15 (09:04:53) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/15 (09:04:53) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/15 (09:04:53) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/15 (09:04:53) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/15 (09:04:53) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/15 (11:26:58) | ===> btop++ v.1.4.0
2025/02/15 (11:26:58) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/15 (11:26:58) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/15 (11:26:58) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/15 (11:26:58) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/15 (11:26:58) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/15 (11:47:29) | ===> btop++ v.1.4.0
2025/02/15 (11:47:29) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/15 (11:47:29) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/15 (11:47:29) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/15 (11:47:29) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/15 (11:47:29) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/15 (11:47:31) | ===> btop++ v.1.4.0
2025/02/15 (11:47:31) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/15 (11:47:31) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/15 (11:47:31) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/15 (11:47:31) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/15 (11:47:31) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/15 (11:47:33) | ===> btop++ v.1.4.0
2025/02/15 (11:47:33) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/15 (11:47:33) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/15 (11:47:33) | WARNING: ROCm SMI: Failed to get VRAM utilization
